Admin1Name,PeriodStartDate,PeriodEndDate,CountValue
WISCONSIN,5/6/1945,5/12/1945,63
WISCONSIN,5/13/1945,5/19/1945,53
WISCONSIN,5/20/1945,5/26/1945,73
WISCONSIN,5/27/1945,6/2/1945,119
WISCONSIN,6/3/1945,6/9/1945,155
WISCONSIN,6/10/1945,6/16/1945,66
WISCONSIN,6/17/1945,6/23/1945,100
WISCONSIN,6/24/1945,6/30/1945,93
WISCONSIN,7/1/1945,7/7/1945,69
WISCONSIN,7/8/1945,7/14/1945,61
WISCONSIN,7/22/1945,7/28/1945,42
WISCONSIN,7/29/1945,8/4/1945,43
WISCONSIN,8/5/1945,8/11/1945,35
WISCONSIN,8/12/1945,8/18/1945,35
WISCONSIN,8/19/1945,8/25/1945,83
WISCONSIN,8/26/1945,9/1/1945,17
WISCONSIN,9/2/1945,9/8/1945,20
WISCONSIN,9/9/1945,9/15/1945,19
WISCONSIN,9/16/1945,9/22/1945,20
WISCONSIN,9/23/1945,9/29/1945,22
WISCONSIN,9/30/1945,10/6/1945,17
WISCONSIN,10/7/1945,10/13/1945,15
WISCONSIN,10/14/1945,10/20/1945,15
WISCONSIN,10/21/1945,10/27/1945,21
WISCONSIN,10/28/1945,11/3/1945,14
WISCONSIN,11/4/1945,11/10/1945,20
WISCONSIN,11/11/1945,11/17/1945,23
WISCONSIN,12/2/1945,12/8/1945,30
WISCONSIN,12/16/1945,12/22/1945,31
WISCONSIN,12/23/1945,12/29/1945,44
WISCONSIN,12/30/1945,1/5/1946,45
WISCONSIN,1/6/1946,1/12/1946,69
WISCONSIN,1/13/1946,1/19/1946,60
WISCONSIN,1/20/1946,1/26/1946,76
WISCONSIN,1/27/1946,2/2/1946,63
WISCONSIN,2/3/1946,2/9/1946,139
WISCONSIN,2/10/1946,2/16/1946,328
WISCONSIN,2/17/1946,2/23/1946,386
WISCONSIN,2/24/1946,3/2/1946,729
WISCONSIN,3/3/1946,3/9/1946,826
WISCONSIN,3/10/1946,3/16/1946,1046
WISCONSIN,3/17/1946,3/23/1946,1791
WISCONSIN,3/24/1946,3/30/1946,2548
WISCONSIN,3/31/1946,4/6/1946,2840
WISCONSIN,4/7/1946,4/13/1946,4222
WISCONSIN,4/14/1946,4/20/1946,4566
WISCONSIN,4/21/1946,4/27/1946,3458
WISCONSIN,4/28/1946,5/4/1946,3980
WISCONSIN,5/5/1946,5/11/1946,2968
WISCONSIN,5/12/1946,5/18/1946,2812
WISCONSIN,5/19/1946,5/25/1946,2471
WISCONSIN,5/26/1946,6/1/1946,2493
WISCONSIN,6/2/1946,6/8/1946,1776
WISCONSIN,6/9/1946,6/15/1946,1723
WISCONSIN,6/16/1946,6/22/1946,1109
WISCONSIN,6/23/1946,6/29/1946,1066
WISCONSIN,6/30/1946,7/6/1946,638
WISCONSIN,7/7/1946,7/13/1946,560
WISCONSIN,7/14/1946,7/20/1946,300
WISCONSIN,7/21/1946,7/27/1946,262
WISCONSIN,7/28/1946,8/3/1946,154
WISCONSIN,8/4/1946,8/10/1946,112
WISCONSIN,8/11/1946,8/17/1946,71
WISCONSIN,8/18/1946,8/24/1946,45
WISCONSIN,8/25/1946,8/31/1946,51
WISCONSIN,9/1/1946,9/7/1946,24
WISCONSIN,9/8/1946,9/14/1946,21
WISCONSIN,9/15/1946,9/21/1946,23
WISCONSIN,9/22/1946,9/28/1946,22
WISCONSIN,9/29/1946,10/5/1946,38
WISCONSIN,10/6/1946,10/12/1946,31
WISCONSIN,10/13/1946,10/19/1946,47
WISCONSIN,10/20/1946,10/26/1946,34
WISCONSIN,10/27/1946,11/2/1946,47
WISCONSIN,11/3/1946,11/9/1946,29
WISCONSIN,11/10/1946,11/16/1946,47
WISCONSIN,11/17/1946,11/23/1946,58
WISCONSIN,11/24/1946,11/30/1946,26
WISCONSIN,12/1/1946,12/7/1946,47
WISCONSIN,12/8/1946,12/14/1946,28
WISCONSIN,12/15/1946,12/21/1946,58
WISCONSIN,1/5/1947,1/11/1947,147
WISCONSIN,1/12/1947,1/18/1947,71
WISCONSIN,1/19/1947,1/25/1947,132
WISCONSIN,1/26/1947,2/1/1947,107
WISCONSIN,2/2/1947,2/8/1947,157
WISCONSIN,2/9/1947,2/15/1947,154
WISCONSIN,2/16/1947,2/22/1947,196
WISCONSIN,2/23/1947,3/1/1947,255
WISCONSIN,3/2/1947,3/8/1947,65
WISCONSIN,3/9/1947,3/15/1947,247
WISCONSIN,3/16/1947,3/22/1947,291
WISCONSIN,3/23/1947,3/29/1947,289
WISCONSIN,3/30/1947,4/5/1947,382
WISCONSIN,4/6/1947,4/12/1947,326
WISCONSIN,4/13/1947,4/19/1947,295
WISCONSIN,4/20/1947,4/26/1947,343
WISCONSIN,4/27/1947,5/3/1947,437
WISCONSIN,5/4/1947,5/10/1947,365
WISCONSIN,5/11/1947,5/17/1947,680
WISCONSIN,5/18/1947,5/24/1947,988
WISCONSIN,5/25/1947,5/31/1947,893
WISCONSIN,6/1/1947,6/7/1947,648
WISCONSIN,6/8/1947,6/14/1947,829
WISCONSIN,6/15/1947,6/21/1947,866
WISCONSIN,6/22/1947,6/28/1947,575
WISCONSIN,6/29/1947,7/5/1947,491
WISCONSIN,7/6/1947,7/12/1947,365
WISCONSIN,7/13/1947,7/19/1947,321
WISCONSIN,7/27/1947,8/2/1947,153
WISCONSIN,8/3/1947,8/9/1947,143
WISCONSIN,8/10/1947,8/16/1947,111
WISCONSIN,8/17/1947,8/23/1947,93
WISCONSIN,8/24/1947,8/30/1947,71
WISCONSIN,8/31/1947,9/6/1947,45
WISCONSIN,9/7/1947,9/13/1947,45
WISCONSIN,9/14/1947,9/20/1947,32
WISCONSIN,9/21/1947,9/27/1947,28
WISCONSIN,9/28/1947,10/4/1947,31
WISCONSIN,10/5/1947,10/11/1947,27
WISCONSIN,10/12/1947,10/18/1947,26
WISCONSIN,10/19/1947,10/25/1947,70
WISCONSIN,10/26/1947,11/1/1947,49
WISCONSIN,11/2/1947,11/8/1947,50
WISCONSIN,11/9/1947,11/15/1947,51
WISCONSIN,11/16/1947,11/22/1947,70
WISCONSIN,11/23/1947,11/29/1947,74
